DateTimeKey;Date Time Hour Beginning;Hourly UCLF+OCLF
2023-04-08 07:00:00;2023-04-08 07:00:00;13966,397000000001
2023-04-08 08:00:00;2023-04-08 08:00:00;14003,710999999999
2023-04-08 09:00:00;2023-04-08 09:00:00;14054,709000000001
2023-04-08 10:00:00;2023-04-08 10:00:00;14327,664000000001
2023-04-08 11:00:00;2023-04-08 11:00:00;14436,261
2023-04-08 12:00:00;2023-04-08 12:00:00;14666,075999999999
2023-04-08 13:00:00;2023-04-08 13:00:00;14566,857
2023-04-08 14:00:00;2023-04-08 14:00:00;14632,018
2023-04-08 15:00:00;2023-04-08 15:00:00;14698,429
2023-04-08 16:00:00;2023-04-08 16:00:00;14676,014999999999
2023-04-08 17:00:00;2023-04-08 17:00:00;14737,978999999999
2023-04-08 18:00:00;2023-04-08 18:00:00;15179,312
2023-04-08 19:00:00;2023-04-08 19:00:00;15240,628000000001
2023-04-08 20:00:00;2023-04-08 20:00:00;15224,915999999999
2023-04-08 21:00:00;2023-04-08 21:00:00;15276,262000000001
2023-04-08 22:00:00;2023-04-08 22:00:00;15208,366
2023-04-08 23:00:00;2023-04-08 23:00:00;15097,537
2023-04-09 00:00:00;2023-04-09 00:00:00;15006,037
2023-04-09 01:00:00;2023-04-09 01:00:00;15050,647000000001
2023-04-09 02:00:00;2023-04-09 02:00:00;15054
2023-04-09 03:00:00;2023-04-09 03:00:00;15045,725
2023-04-09 04:00:00;2023-04-09 04:00:00;15140,512000000001
2023-04-09 05:00:00;2023-04-09 05:00:00;15070,511
2023-04-09 06:00:00;2023-04-09 06:00:00;14986,759
2023-04-09 07:00:00;2023-04-09 07:00:00;14952,915999999999
2023-04-09 08:00:00;2023-04-09 08:00:00;14981,696
2023-04-09 09:00:00;2023-04-09 09:00:00;15076,121999999999
2023-04-09 10:00:00;2023-04-09 10:00:00;15177,977999999999
2023-04-09 11:00:00;2023-04-09 11:00:00;15183,834999999999
2023-04-09 12:00:00;2023-04-09 12:00:00;15215,947
2023-04-09 13:00:00;2023-04-09 13:00:00;15143,893
2023-04-09 14:00:00;2023-04-09 14:00:00;15209,847
2023-04-09 15:00:00;2023-04-09 15:00:00;15204,652
2023-04-09 16:00:00;2023-04-09 16:00:00;14887,784
2023-04-09 17:00:00;2023-04-09 17:00:00;14963,914000000001
2023-04-09 18:00:00;2023-04-09 18:00:00;15115,657999999999
2023-04-09 19:00:00;2023-04-09 19:00:00;15431,888999999999
2023-04-09 20:00:00;2023-04-09 20:00:00;15490,513000000001
2023-04-09 21:00:00;2023-04-09 21:00:00;15608,038
2023-04-09 22:00:00;2023-04-09 22:00:00;15620,079
2023-04-09 23:00:00;2023-04-09 23:00:00;15489,937
2023-04-10 00:00:00;2023-04-10 00:00:00;15397,782999999999
2023-04-10 01:00:00;2023-04-10 01:00:00;15286,969999999999
2023-04-10 02:00:00;2023-04-10 02:00:00;15505,32
2023-04-10 03:00:00;2023-04-10 03:00:00;15118,200999999999
2023-04-10 04:00:00;2023-04-10 04:00:00;15120,059999999999
2023-04-10 05:00:00;2023-04-10 05:00:00;14947,972
2023-04-10 06:00:00;2023-04-10 06:00:00;14983,937
2023-04-10 07:00:00;2023-04-10 07:00:00;15066,440000000001
2023-04-10 08:00:00;2023-04-10 08:00:00;15281,611999999999
2023-04-10 09:00:00;2023-04-10 09:00:00;15274,285
2023-04-10 10:00:00;2023-04-10 10:00:00;15278,834999999999
2023-04-10 11:00:00;2023-04-10 11:00:00;15184,553
2023-04-10 12:00:00;2023-04-10 12:00:00;15161,971
2023-04-10 13:00:00;2023-04-10 13:00:00;14929,022999999999
2023-04-10 14:00:00;2023-04-10 14:00:00;15393,859
2023-04-10 15:00:00;2023-04-10 15:00:00;15587,808000000001
2023-04-10 16:00:00;2023-04-10 16:00:00;15387,261
2023-04-10 17:00:00;2023-04-10 17:00:00;14917,745000000001
2023-04-10 18:00:00;2023-04-10 18:00:00;14226,442999999999
2023-04-10 19:00:00;2023-04-10 19:00:00;14168,32
2023-04-10 20:00:00;2023-04-10 20:00:00;14389,665000000001
2023-04-10 21:00:00;2023-04-10 21:00:00;14951,539000000001
2023-04-10 22:00:00;2023-04-10 22:00:00;15009,450000000001
2023-04-10 23:00:00;2023-04-10 23:00:00;15049,944
2023-04-11 00:00:00;2023-04-11 00:00:00;15141,535
2023-04-11 01:00:00;2023-04-11 01:00:00;15313,045
2023-04-11 02:00:00;2023-04-11 02:00:00;15800,683000000001
2023-04-11 03:00:00;2023-04-11 03:00:00;15788,428
2023-04-11 04:00:00;2023-04-11 04:00:00;15798,092000000001
2023-04-11 05:00:00;2023-04-11 05:00:00;15706,933000000001
2023-04-11 06:00:00;2023-04-11 06:00:00;15667,639999999999
2023-04-11 07:00:00;2023-04-11 07:00:00;15639,249
2023-04-11 08:00:00;2023-04-11 08:00:00;15641,302
2023-04-11 09:00:00;2023-04-11 09:00:00;15767,646000000001
2023-04-11 10:00:00;2023-04-11 10:00:00;15715,196
2023-04-11 11:00:00;2023-04-11 11:00:00;15793,682000000001
2023-04-11 12:00:00;2023-04-11 12:00:00;15943,519
2023-04-11 13:00:00;2023-04-11 13:00:00;16061,91
2023-04-11 14:00:00;2023-04-11 14:00:00;16100,629000000001
2023-04-11 15:00:00;2023-04-11 15:00:00;16119,019
2023-04-11 16:00:00;2023-04-11 16:00:00;16070,413
2023-04-11 17:00:00;2023-04-11 17:00:00;15877,489
2023-04-11 18:00:00;2023-04-11 18:00:00;15721,003000000001
2023-04-11 19:00:00;2023-04-11 19:00:00;15542,114
2023-04-11 20:00:00;2023-04-11 20:00:00;15270,473
2023-04-11 21:00:00;2023-04-11 21:00:00;15682,889999999999
2023-04-11 22:00:00;2023-04-11 22:00:00;16033,869000000001
2023-04-11 23:00:00;2023-04-11 23:00:00;16821,406999999999
