DateTimeKey,Date Time Hour Beginning,Hourly UCLF+OCLF
2023-04-22 08:00:00,2023-04-22 08:00:00,15749,050999999999
2023-04-22 09:00:00,2023-04-22 09:00:00,15773,275
2023-04-22 10:00:00,2023-04-22 10:00:00,15604,023999999999
2023-04-22 11:00:00,2023-04-22 11:00:00,15687,790000000001
2023-04-22 12:00:00,2023-04-22 12:00:00,15733,294
2023-04-22 13:00:00,2023-04-22 13:00:00,15686,505999999999
2023-04-22 14:00:00,2023-04-22 14:00:00,15792,614
2023-04-22 15:00:00,2023-04-22 15:00:00,16006,787
2023-04-22 16:00:00,2023-04-22 16:00:00,16412,428
2023-04-22 17:00:00,2023-04-22 17:00:00,16283,999
2023-04-22 18:00:00,2023-04-22 18:00:00,15746,463
2023-04-22 19:00:00,2023-04-22 19:00:00,15777,115
2023-04-22 20:00:00,2023-04-22 20:00:00,15887,15
2023-04-22 21:00:00,2023-04-22 21:00:00,15874,183999999999
2023-04-22 22:00:00,2023-04-22 22:00:00,16203,380999999999
2023-04-22 23:00:00,2023-04-22 23:00:00,16274,683999999999
2023-04-23 00:00:00,2023-04-23 00:00:00,16060,358
2023-04-23 01:00:00,2023-04-23 01:00:00,16007,314
2023-04-23 02:00:00,2023-04-23 02:00:00,16073,879000000001
2023-04-23 03:00:00,2023-04-23 03:00:00,16172,279
2023-04-23 04:00:00,2023-04-23 04:00:00,16119,621999999999
2023-04-23 05:00:00,2023-04-23 05:00:00,16015,248
2023-04-23 06:00:00,2023-04-23 06:00:00,15907,700999999999
2023-04-23 07:00:00,2023-04-23 07:00:00,15883,805
2023-04-23 08:00:00,2023-04-23 08:00:00,15865,447
2023-04-23 09:00:00,2023-04-23 09:00:00,15859,142
2023-04-23 10:00:00,2023-04-23 10:00:00,15926,736999999999
2023-04-23 11:00:00,2023-04-23 11:00:00,15994,498
2023-04-23 12:00:00,2023-04-23 12:00:00,16322,234
2023-04-23 13:00:00,2023-04-23 13:00:00,16157,800999999999
2023-04-23 14:00:00,2023-04-23 14:00:00,16118,75
2023-04-23 15:00:00,2023-04-23 15:00:00,15969,569
2023-04-23 16:00:00,2023-04-23 16:00:00,16216,679
2023-04-23 17:00:00,2023-04-23 17:00:00,16202,209999999999
2023-04-23 18:00:00,2023-04-23 18:00:00,16162,51
2023-04-23 19:00:00,2023-04-23 19:00:00,15916,013000000001
2023-04-23 20:00:00,2023-04-23 20:00:00,16467,675999999999
2023-04-23 21:00:00,2023-04-23 21:00:00,16309,296
2023-04-23 22:00:00,2023-04-23 22:00:00,16537,93
2023-04-23 23:00:00,2023-04-23 23:00:00,16712,755000000001
2023-04-24 00:00:00,2023-04-24 00:00:00,16646,255000000001
2023-04-24 01:00:00,2023-04-24 01:00:00,16170,072
2023-04-24 02:00:00,2023-04-24 02:00:00,15840,777
2023-04-24 03:00:00,2023-04-24 03:00:00,15786,110000000001
2023-04-24 04:00:00,2023-04-24 04:00:00,15732,123
2023-04-24 05:00:00,2023-04-24 05:00:00,16070,766
2023-04-24 06:00:00,2023-04-24 06:00:00,15971,183999999999
2023-04-24 07:00:00,2023-04-24 07:00:00,15355,669
2023-04-24 08:00:00,2023-04-24 08:00:00,15698,502
2023-04-24 09:00:00,2023-04-24 09:00:00,15938,940000000001
2023-04-24 10:00:00,2023-04-24 10:00:00,15713,683999999999
2023-04-24 11:00:00,2023-04-24 11:00:00,16097,769
2023-04-24 12:00:00,2023-04-24 12:00:00,16285,235000000001
2023-04-24 13:00:00,2023-04-24 13:00:00,15634,985000000001
2023-04-24 14:00:00,2023-04-24 14:00:00,15284,779
2023-04-24 15:00:00,2023-04-24 15:00:00,15055,954
2023-04-24 16:00:00,2023-04-24 16:00:00,14840,414000000001
2023-04-24 17:00:00,2023-04-24 17:00:00,14418,59
2023-04-24 18:00:00,2023-04-24 18:00:00,14286,023999999999
2023-04-24 19:00:00,2023-04-24 19:00:00,14240,694
2023-04-24 20:00:00,2023-04-24 20:00:00,14451,437
2023-04-24 21:00:00,2023-04-24 21:00:00,14516,954
2023-04-24 22:00:00,2023-04-24 22:00:00,14365,212
2023-04-24 23:00:00,2023-04-24 23:00:00,14476,384
