DateTimeKey,Available Capacity Incl Non Comm Units,Available_Capacity_Incl_Non_Comm_Units_Incl_Total_RE,Residual Demand,RSA Contracted Demand
2023-04-29 05:00:00,27538.791000000001,28080.791000000001,21608.896000000001,22150.513999999999
2023-04-29 06:00:00,27454.292000000001,27961.292000000001,22873.469000000001,23380.602999999999
2023-04-29 07:00:00,27432.718000000001,28188.718000000001,24657.812000000002,25413.959999999999
2023-04-29 08:00:00,27535.528999999999,29052.528999999999,25278.449000000001,26795.151000000002
2023-04-29 09:00:00,27424.942999999999,29647.942999999999,24616.465,26839.388999999999
2023-04-29 10:00:00,27371.395,29924.395,24194.526999999998,26747.987000000001
2023-04-29 11:00:00,27498.518,30216.518,23646.098000000002,26364.133000000002
2023-04-29 12:00:00,27465.975999999999,30258.975999999999,23379.113000000001,26171.918000000001
2023-04-29 13:00:00,27040.756000000001,29964.756000000001,22871.361000000001,25794.931
2023-04-29 14:00:00,27063.27,30099.27,22365.478999999999,25401.885999999999
2023-04-29 15:00:00,27084.030999999999,30049.030999999999,22469.731,25434.475999999999
2023-04-29 16:00:00,26992.584999999999,29543.584999999999,23556.5,26107.800999999999
2023-04-29 17:00:00,27030.572,28985.572,25122.477999999999,27077.356
2023-04-29 18:00:00,26758.584999999999,28451.584999999999,26854.530999999999,28547.059000000001
2023-04-29 19:00:00,26419.047999999999,28136.047999999999,25794.302,27511.633000000002
2023-04-29 20:00:00,26037.913,27771.913,24311.848000000002,26046.213
2023-04-29 21:00:00,25493.758999999998,27000.758999999998,22951.960999999999,24459.252
2023-04-29 22:00:00,25191.659,26448.659,21805.955999999998,23062.644
2023-04-29 23:00:00,25215.030999999999,26455.030999999999,20684.578000000001,21924.186000000002
2023-04-30 00:00:00,25187.109,26528.109,20433.708999999999,21775.169999999998
2023-04-30 01:00:00,25198.007000000001,26473.007000000001,20293.019,21567.557000000001
2023-04-30 02:00:00,25625.595000000001,26854.595000000001,19024.716,20253.219000000001
2023-04-30 03:00:00,25758.712,26924.712,19099.398000000001,20265.208999999999
2023-04-30 04:00:00,25816.48,26862.48,19521.921999999999,20567.562999999998
2023-04-30 05:00:00,26602.197,27671.197,20199.866000000002,21269.110000000001
2023-04-30 06:00:00,27689.078000000001,28726.078000000001,21480.455999999998,22517.614000000001
2023-04-30 07:00:00,28504.380000000001,29793.380000000001,23193.689999999999,24482.453000000001
2023-04-30 08:00:00,28154.760999999999,30148.760999999999,24053.178,26047.651000000002
2023-04-30 09:00:00,28077.039000000001,30408.039000000001,24100.312000000002,26430.835999999999
2023-04-30 10:00:00,27915.453000000001,30275.453000000001,23552.253000000001,25912.085999999999
2023-04-30 11:00:00,27587.973999999998,29934.973999999998,23164.505000000001,25511.839
2023-04-30 12:00:00,27382.564999999999,29928.564999999999,22830.629000000001,25376.136999999999
2023-04-30 13:00:00,27792.687999999998,30568.687999999998,22434.766,25210.911
2023-04-30 14:00:00,27590.258999999998,30335.258999999998,22233.073,24978.214
2023-04-30 15:00:00,27639.577000000001,30276.577000000001,22447.312000000002,25084.192999999999
2023-04-30 16:00:00,27736.438999999998,30231.438999999998,23289.215,25784.235000000001
2023-04-30 17:00:00,27836.150000000001,29569.150000000001,25190.789000000001,26923.842000000001
2023-04-30 18:00:00,27752.796999999999,29197.796999999999,26977.034,28422.419000000002
2023-04-30 19:00:00,27569.203000000001,28945.203000000001,25911.205999999998,27287.646000000001
2023-04-30 20:00:00,27537.407999999999,28677.407999999999,24397.021000000001,25537.388999999999
2023-04-30 21:00:00,27248.332999999999,28158.332999999999,22976.599999999999,23886.691999999999
2023-04-30 22:00:00,27124.933000000001,27735.933000000001,21815.68,22426.773000000001
2023-04-30 23:00:00,27021.111000000001,27576.111000000001,20710.832999999999,21265.723999999998
2023-05-01 00:00:00,27048.019,27509.019,20412.073,20873.334999999999
2023-05-01 01:00:00,27014.331999999999,27447.331999999999,20310.150000000001,20743.445
2023-05-01 02:00:00,26941.864000000001,27374.864000000001,20252.948,20685.883999999998
2023-05-01 03:00:00,26942.823,27433.823,20001.529999999999,20492.393
2023-05-01 04:00:00,26995.437000000002,27493.437000000002,20502.839,21000.782999999999
2023-05-01 05:00:00,27416.956999999999,27996.956999999999,20129.407999999999,20709.447
2023-05-01 06:00:00,27603.959999999999,28266.959999999999,21440.123,22102.706999999999
2023-05-01 07:00:00,27796.574000000001,28675.574000000001,23148.060000000001,24027.143
2023-05-01 08:00:00,27878.27,29430.27,24193.103999999999,25744.720000000001
2023-05-01 09:00:00,27801.159,29847.159,24524.378000000001,26570.273000000001
2023-05-01 10:00:00,27660.458999999999,29965.458999999999,24527.464,26832.152999999998
2023-05-01 11:00:00,27773.792000000001,30202.792000000001,23583.191999999999,26011.746999999999
2023-05-01 12:00:00,27610.119999999999,30108.119999999999,23174.309000000001,25671.82
2023-05-01 13:00:00,27646.898000000001,30347.898000000001,22685.240000000002,25386.076000000001
2023-05-01 14:00:00,27700.449000000001,30360.449000000001,22550.859,25211.213
2023-05-01 15:00:00,27717.081999999999,30223.081999999999,23133.673999999999,25639.223999999998
2023-05-01 16:00:00,27758.573,30035.573,24840.812999999998,27117.931
2023-05-01 17:00:00,27742.026999999998,29380.026999999998,26968.386999999999,28606.470000000001
2023-05-01 18:00:00,27669.060000000001,29044.060000000001,28591.450000000001,29966.274000000001
2023-05-01 19:00:00,27645.810000000001,28922.810000000001,27255.034,28532.427
2023-05-01 20:00:00,27495.062999999998,28597.062999999998,25664.922999999999,26767.297999999999
2023-05-01 21:00:00,27306.117999999999,28163.117999999999,23576.249,24432.776000000002
2023-05-01 22:00:00,27062.853999999999,27736.853999999999,21830.130000000001,22503.964
2023-05-01 23:00:00,27032.667000000001,27650.667000000001,20467.044999999998,21084.635999999999
2023-05-02 00:00:00,26964.396000000001,27478.396000000001,20348.240000000002,20861.948
2023-05-02 01:00:00,26770.738000000001,27284.738000000001,20024.689999999999,20538.282999999999
2023-05-02 02:00:00,26842.299999999999,27376.299999999999,20026.005000000001,20559.786
2023-05-02 03:00:00,26843.769,27339.769,20323.685000000001,20819.994999999999
2023-05-02 04:00:00,27179.309000000001,27689.309000000001,21886.800999999999,22396.879000000001
2023-05-02 05:00:00,27383.989000000001,27812.989000000001,25008.526000000002,25437.271000000001
2023-05-02 06:00:00,27392.441999999999,27799.441999999999,27369.171999999999,27775.853999999999
2023-05-02 07:00:00,27396.742999999999,28110.742999999999,26827.827000000001,27541.977999999999
2023-05-02 08:00:00,27487.719000000001,28976.719000000001,26559.435000000001,28048.610000000001
2023-05-02 09:00:00,27650.305,29618.305,25783.965,27751.973000000002
2023-05-02 10:00:00,27618.127,29800.127,25360.370999999999,27542.271000000001
2023-05-02 11:00:00,27210.416000000001,29488.416000000001,24936.327000000001,27214.100999999999
2023-05-02 12:00:00,27054.619999999999,29373.619999999999,24730.577000000001,27049.099999999999
2023-05-02 13:00:00,27432.467000000001,29774.467000000001,24498.863000000001,26841.202000000001
2023-05-02 14:00:00,27033.137999999999,29285.137999999999,24707.628000000001,26960.071
2023-05-02 15:00:00,26894.458999999999,28956.458999999999,25598.175999999999,27659.894
2023-05-02 16:00:00,26989.163,28630.163,27156.68,28797.315999999999
2023-05-02 17:00:00,26772.585999999999,27896.585999999999,29032.529999999999,30156.345000000001
2023-05-02 18:00:00,26763.152999999998,27923.152999999998,30541.615000000002,31701.629000000001
2023-05-02 19:00:00,26489.953000000001,27742.953000000001,29018.205000000002,30270.714
2023-05-02 20:00:00,26531.008999999998,27796.008999999998,27160.996999999999,28426.099999999999
2023-05-02 21:00:00,26558.439999999999,27540.439999999999,25441.326000000001,26423.456999999999
2023-05-02 22:00:00,26445.794000000002,27176.794000000002,23522.387999999999,24253.694
2023-05-02 23:00:00,26446.546999999999,27081.546999999999,22109.083999999999,22744.253000000001
2023-05-03 00:00:00,,,,
2023-05-03 01:00:00,,,,
2023-05-03 02:00:00,,,,
2023-05-03 03:00:00,,,,
2023-05-03 04:00:00,,,,
2023-05-03 05:00:00,,,,
2023-05-03 06:00:00,,,,
2023-05-03 07:00:00,,,,
2023-05-03 08:00:00,,,,
2023-05-03 09:00:00,,,,
2023-05-03 10:00:00,,,,
2023-05-03 11:00:00,,,,
2023-05-03 12:00:00,,,,
2023-05-03 13:00:00,,,,
2023-05-03 14:00:00,,,,
2023-05-03 15:00:00,,,,
2023-05-03 16:00:00,,,,
2023-05-03 17:00:00,,,,
2023-05-03 18:00:00,,,,
2023-05-03 19:00:00,,,,
2023-05-03 20:00:00,,,,
2023-05-03 21:00:00,,,,
2023-05-03 22:00:00,,,,
2023-05-03 23:00:00,,,,
2023-05-04 00:00:00,,,,
2023-05-04 01:00:00,,,,
2023-05-04 02:00:00,,,,
2023-05-04 03:00:00,,,,
2023-05-04 04:00:00,,,,
2023-05-04 05:00:00,,,,
2023-05-04 06:00:00,,,,
2023-05-04 07:00:00,,,,
2023-05-04 08:00:00,,,,
2023-05-04 09:00:00,,,,
2023-05-04 10:00:00,,,,
2023-05-04 11:00:00,,,,
2023-05-04 12:00:00,,,,
2023-05-04 13:00:00,,,,
2023-05-04 14:00:00,,,,
2023-05-04 15:00:00,,,,
2023-05-04 16:00:00,,,,
2023-05-04 17:00:00,,,,
2023-05-04 18:00:00,,,,
2023-05-04 19:00:00,,,,
2023-05-04 20:00:00,,,,
2023-05-04 21:00:00,,,,
2023-05-04 22:00:00,,,,
2023-05-04 23:00:00,,,,
2023-05-05 00:00:00,,,,
2023-05-05 01:00:00,,,,
2023-05-05 02:00:00,,,,
2023-05-05 03:00:00,,,,
2023-05-05 04:00:00,,,,
2023-05-05 05:00:00,,,,
2023-05-05 06:00:00,,,,
2023-05-05 07:00:00,,,,
2023-05-05 08:00:00,,,,
2023-05-05 09:00:00,,,,
2023-05-05 10:00:00,,,,
2023-05-05 11:00:00,,,,
2023-05-05 12:00:00,,,,
2023-05-05 13:00:00,,,,
2023-05-05 14:00:00,,,,
2023-05-05 15:00:00,,,,
2023-05-05 16:00:00,,,,
2023-05-05 17:00:00,,,,
2023-05-05 18:00:00,,,,
2023-05-05 19:00:00,,,,
2023-05-05 20:00:00,,,,
2023-05-05 21:00:00,,,,
2023-05-05 22:00:00,,,,
2023-05-05 23:00:00,,,,
2023-05-06 00:00:00,,,,
2023-05-06 01:00:00,,,,
2023-05-06 02:00:00,,,,
2023-05-06 03:00:00,,,,
2023-05-06 04:00:00,,,,
2023-05-06 05:00:00,,,,
2023-05-06 06:00:00,,,,
2023-05-06 07:00:00,,,,
2023-05-06 08:00:00,,,,
2023-05-06 09:00:00,,,,
2023-05-06 10:00:00,,,,
2023-05-06 11:00:00,,,,
2023-05-06 12:00:00,,,,
2023-05-06 13:00:00,,,,
2023-05-06 14:00:00,,,,
2023-05-06 15:00:00,,,,
2023-05-06 16:00:00,,,,
2023-05-06 17:00:00,,,,
2023-05-06 18:00:00,,,,
2023-05-06 19:00:00,,,,
2023-05-06 20:00:00,,,,
2023-05-06 21:00:00,,,,
2023-05-06 22:00:00,,,,
2023-05-06 23:00:00,,,,
2023-05-07 00:00:00,,,,
2023-05-07 01:00:00,,,,
2023-05-07 02:00:00,,,,
2023-05-07 03:00:00,,,,
2023-05-07 04:00:00,,,,
2023-05-07 05:00:00,,,,
2023-05-07 06:00:00,,,,
2023-05-07 07:00:00,,,,
2023-05-07 08:00:00,,,,
2023-05-07 09:00:00,,,,
2023-05-07 10:00:00,,,,
2023-05-07 11:00:00,,,,
2023-05-07 12:00:00,,,,
2023-05-07 13:00:00,,,,
2023-05-07 14:00:00,,,,
2023-05-07 15:00:00,,,,
2023-05-07 16:00:00,,,,
2023-05-07 17:00:00,,,,
2023-05-07 18:00:00,,,,
2023-05-07 19:00:00,,,,
2023-05-07 20:00:00,,,,
2023-05-07 21:00:00,,,,
2023-05-07 22:00:00,,,,
2023-05-07 23:00:00,,,,
2023-05-08 00:00:00,,,,
2023-05-08 01:00:00,,,,
2023-05-08 02:00:00,,,,
2023-05-08 03:00:00,,,,
2023-05-08 04:00:00,,,,
2023-05-08 05:00:00,,,,
2023-05-08 06:00:00,,,,
2023-05-08 07:00:00,,,,
2023-05-08 08:00:00,,,,
2023-05-08 09:00:00,,,,
2023-05-08 10:00:00,,,,
2023-05-08 11:00:00,,,,
2023-05-08 12:00:00,,,,
2023-05-08 13:00:00,,,,
2023-05-08 14:00:00,,,,
2023-05-08 15:00:00,,,,
2023-05-08 16:00:00,,,,
2023-05-08 17:00:00,,,,
2023-05-08 18:00:00,,,,
2023-05-08 19:00:00,,,,
2023-05-08 20:00:00,,,,
2023-05-08 21:00:00,,,,
2023-05-08 22:00:00,,,,
2023-05-08 23:00:00,,,,
2023-05-09 00:00:00,,,,
2023-05-09 01:00:00,,,,
2023-05-09 02:00:00,,,,
2023-05-09 03:00:00,,,,
2023-05-09 04:00:00,,,,
2023-05-09 05:00:00,,,,
2023-05-09 06:00:00,,,,
2023-05-09 07:00:00,,,,
2023-05-09 08:00:00,,,,
2023-05-09 09:00:00,,,,
2023-05-09 10:00:00,,,,
2023-05-09 11:00:00,,,,
2023-05-09 12:00:00,,,,
2023-05-09 13:00:00,,,,
2023-05-09 14:00:00,,,,
2023-05-09 15:00:00,,,,
2023-05-09 16:00:00,,,,
2023-05-09 17:00:00,,,,
2023-05-09 18:00:00,,,,
2023-05-09 19:00:00,,,,
2023-05-09 20:00:00,,,,
2023-05-09 21:00:00,,,,
2023-05-09 22:00:00,,,,
2023-05-09 23:00:00,,,,
2023-05-10 00:00:00,,,,
2023-05-10 01:00:00,,,,
2023-05-10 02:00:00,,,,
2023-05-10 03:00:00,,,,
2023-05-10 04:00:00,,,,
2023-05-10 05:00:00,,,,
2023-05-10 06:00:00,,,,
2023-05-10 07:00:00,,,,
2023-05-10 08:00:00,,,,
2023-05-10 09:00:00,,,,
2023-05-10 10:00:00,,,,
2023-05-10 11:00:00,,,,
2023-05-10 12:00:00,,,,
2023-05-10 13:00:00,,,,
2023-05-10 14:00:00,,,,
2023-05-10 15:00:00,,,,
2023-05-10 16:00:00,,,,
2023-05-10 17:00:00,,,,
2023-05-10 18:00:00,,,,
2023-05-10 19:00:00,,,,
2023-05-10 20:00:00,,,,
2023-05-10 21:00:00,,,,
2023-05-10 22:00:00,,,,
2023-05-10 23:00:00,,,,
